                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2244,                0.69966,                  1.158,                0.83594,                0.82715,                0.89466,                0.53469,                 1.2503,                0.67204,                 1.2235,               0.008317,               0.008317,               0.008317
                     53,                 1.2356,                0.71018,                   1.18,                0.82918,                0.83357,                0.85951,                0.53305,                 1.2639,                0.69579,                 1.2438,               0.008284,               0.008284,               0.008284
                     54,                  1.275,                 0.7186,                 1.1916,                0.74496,                0.80438,                  0.833,                0.50596,                 1.2424,                  0.643,                 1.2247,               0.008251,               0.008251,               0.008251
                     55,                 1.2478,                0.70347,                 1.1647,                0.78284,                0.79509,                 0.8244,                0.51558,                 1.2113,                0.63178,                 1.2156,               0.008218,               0.008218,               0.008218
                     56,                 1.2319,                0.68631,                 1.1438,                0.81568,                0.90764,                0.86861,                0.53655,                 1.2138,                 0.6671,                  1.218,               0.008185,               0.008185,               0.008185
                     57,                 1.2132,                0.68881,                 1.1739,                0.82012,                0.71829,                0.79809,                 0.5077,                  1.208,                0.64161,                 1.2107,               0.008152,               0.008152,               0.008152
                     58,                 1.2312,                0.69266,                  1.165,                0.82457,                0.72994,                0.79461,                0.50732,                 1.2553,                0.65652,                 1.2404,               0.008119,               0.008119,               0.008119
                     59,                 1.2173,                 0.6967,                  1.159,                0.77219,                0.84654,                0.85669,                 0.4798,                 1.3171,                0.67045,                 1.2879,               0.008086,               0.008086,               0.008086
                     60,                 1.2267,                0.68881,                 1.1624,                0.79629,                0.79874,                0.81855,                0.50919,                  1.202,                 0.6311,                  1.194,               0.008053,               0.008053,               0.008053
                     61,                 1.2357,                0.69032,                 1.1708,                 0.8472,                0.85131,                0.90442,                0.53993,                 1.2385,                0.65415,                 1.2235,                0.00802,                0.00802,                0.00802
                     62,                   1.21,                0.67862,                 1.1564,                0.83524,                0.86752,                0.90796,                0.55025,                 1.2101,                0.62368,                 1.1962,               0.007987,               0.007987,               0.007987
                     63,                 1.2007,                0.67009,                 1.1503,                0.87357,                0.81232,                0.85556,                0.53579,                 1.2277,                0.63119,                 1.2095,               0.007954,               0.007954,               0.007954
                     64,                 1.1849,                0.65338,                 1.1289,                0.94911,                 0.8262,                0.91024,                0.54301,                 1.2263,                0.63327,                 1.2135,               0.007921,               0.007921,               0.007921
                     65,                 1.1902,                0.66507,                 1.1401,                0.86757,                 0.8964,                0.91907,                0.56543,                 1.1986,                0.61879,                 1.1999,               0.007888,               0.007888,               0.007888
                     66,                 1.1831,                0.63979,                 1.1165,                0.81105,                0.86826,                0.88384,                0.53332,                 1.2653,                0.65482,                 1.2262,               0.007855,               0.007855,               0.007855
                     67,                 1.1874,                0.66269,                 1.1482,                0.83375,                0.88254,                0.88101,                0.54655,                 1.2069,                0.59471,                 1.2014,               0.007822,               0.007822,               0.007822
                     68,                 1.1724,                0.65603,                 1.1578,                0.78911,                0.79476,                  0.825,                0.50952,                 1.2245,                0.65714,                 1.2232,               0.007789,               0.007789,               0.007789
                     69,                 1.1786,                 0.6446,                  1.135,                0.96551,                0.87632,                0.92813,                0.55942,                 1.2251,                0.61482,                 1.2145,               0.007756,               0.007756,               0.007756
                     70,                 1.1611,                 0.6392,                 1.1354,                0.85774,                0.80349,                0.86528,                0.53024,                 1.2025,                0.61906,                 1.2078,               0.007723,               0.007723,               0.007723
                     71,                 1.1627,                0.62997,                 1.1343,                0.90541,                0.87252,                0.89906,                0.56377,                 1.1668,                 0.6021,                 1.1856,                0.00769,                0.00769,                0.00769
                     72,                 1.1663,                0.63245,                 1.1182,                0.88673,                0.84597,                 0.8904,                0.54631,                 1.2106,                0.59097,                 1.2089,               0.007657,               0.007657,               0.007657
                     73,                 1.1392,                0.62996,                 1.1221,                0.92842,                0.83643,                0.88678,                0.54054,                 1.1974,                0.58398,                 1.2019,               0.007624,               0.007624,               0.007624
                     74,                 1.1849,                0.64131,                 1.1356,                0.93416,                0.81465,                0.90719,                  0.546,                 1.1939,                0.62992,                 1.1996,               0.007591,               0.007591,               0.007591
                     75,                 1.1623,                0.63472,                 1.1208,                0.94713,                0.83831,                0.88994,                0.58268,                 1.2055,                0.59579,                 1.1969,               0.007558,               0.007558,               0.007558
                     76,                 1.1581,                0.63624,                 1.1367,                0.90235,                0.87446,                0.91805,                0.56817,                 1.1778,                 0.5934,                 1.1927,               0.007525,               0.007525,               0.007525
                     77,                 1.1519,                0.64621,                 1.1426,                0.92162,                 0.8803,                0.90852,                0.56476,                 1.1905,                0.58952,                 1.2022,               0.007492,               0.007492,               0.007492
                     78,                 1.1699,                0.63923,                 1.1204,                0.90394,                0.82222,                0.87438,                0.54138,                 1.1847,                0.58259,                  1.199,               0.007459,               0.007459,               0.007459
                     79,                 1.1452,                0.61668,                 1.1196,                0.89307,                0.83664,                0.89436,                0.54693,                 1.2503,                0.61383,                 1.2202,               0.007426,               0.007426,               0.007426
                     80,                 1.1404,                0.61177,                  1.112,                0.89388,                0.84553,                0.89514,                0.55704,                 1.1646,                0.56144,                 1.1827,               0.007393,               0.007393,               0.007393
