                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                  1.254,                0.70038,                 1.1555,                 0.7597,                0.85718,                0.85931,                0.52634,                  1.223,                0.64416,                 1.2096,               0.008185,               0.008185,               0.008185
                     57,                 1.2145,                0.68614,                 1.1744,                0.84857,                0.73653,                0.77376,                0.48764,                 1.2534,                0.64064,                 1.2344,               0.008152,               0.008152,               0.008152
                     58,                  1.254,                0.70714,                 1.1759,                0.73369,                 0.8078,                0.81471,                0.49462,                 1.2304,                0.64716,                 1.2143,               0.008119,               0.008119,               0.008119
                     59,                 1.2358,                0.69846,                 1.1672,                0.92785,                0.74331,                0.85867,                0.53298,                 1.2015,                0.62568,                 1.2168,               0.008086,               0.008086,               0.008086
                     60,                 1.2367,                0.69338,                 1.1691,                0.87415,                0.82659,                0.88428,                0.52555,                 1.2003,                0.63281,                 1.2036,               0.008053,               0.008053,               0.008053
                     61,                 1.2455,                0.69529,                 1.1743,                0.76361,                0.81572,                0.82465,                0.51518,                 1.2249,                0.63482,                 1.2169,                0.00802,                0.00802,                0.00802
                     62,                  1.214,                0.68046,                 1.1551,                0.85534,                0.76123,                 0.8204,                0.51406,                 1.1942,                 0.6192,                 1.2089,               0.007987,               0.007987,               0.007987
                     63,                 1.2088,                0.67976,                 1.1535,                0.86072,                0.78305,                0.85125,                0.53198,                 1.1821,                0.62216,                 1.1887,               0.007954,               0.007954,               0.007954
                     64,                 1.1873,                0.66727,                 1.1366,                0.83009,                0.82478,                0.83011,                0.51588,                 1.1888,                0.59555,                 1.1954,               0.007921,               0.007921,               0.007921
                     65,                 1.2082,                0.67067,                 1.1501,                 0.8613,                0.85079,                0.91232,                0.54568,                 1.1991,                0.61134,                  1.198,               0.007888,               0.007888,               0.007888
                     66,                 1.1912,                0.64691,                 1.1175,                0.75565,                0.89182,                0.84653,                0.52158,                 1.2402,                0.60526,                 1.2052,               0.007855,               0.007855,               0.007855
                     67,                 1.2098,                0.67427,                 1.1566,                0.87358,                0.79889,                0.90618,                0.52011,                 1.2266,                0.61087,                 1.2055,               0.007822,               0.007822,               0.007822
                     68,                 1.1792,                0.66567,                 1.1595,                0.80803,                0.85375,                0.84149,                0.53579,                  1.178,                0.59466,                 1.1807,               0.007789,               0.007789,               0.007789
                     69,                 1.1812,                0.65225,                 1.1348,                0.78172,                0.81896,                0.85187,                0.51386,                 1.1965,                0.60744,                  1.197,               0.007756,               0.007756,               0.007756
                     70,                 1.1685,                0.64392,                 1.1375,                0.82739,                 0.8447,                0.87826,                0.55286,                 1.1847,                0.60073,                 1.1886,               0.007723,               0.007723,               0.007723
                     71,                 1.1712,                0.63832,                 1.1396,                0.84414,                0.83515,                0.86805,                0.55117,                 1.1639,                0.59278,                 1.1795,                0.00769,                0.00769,                0.00769
                     72,                 1.1745,                0.64793,                 1.1205,                0.84965,                0.77886,                0.81756,                0.52736,                 1.1902,                  0.613,                 1.1901,               0.007657,               0.007657,               0.007657
