                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                   1.16,                0.63776,                  1.116,                0.87269,                 0.8383,                0.90022,                0.56173,                 1.2357,                0.63667,                 1.2316,               0.007657,               0.007657,               0.007657
                     73,                 1.1354,                 0.6329,                 1.1241,                0.90069,                0.83409,                0.89653,                0.54611,                 1.2041,                0.57979,                 1.2152,               0.007624,               0.007624,               0.007624
                     74,                 1.1748,                0.63442,                 1.1314,                 0.8581,                 0.8871,                0.88956,                0.55883,                 1.2035,                0.58194,                 1.2055,               0.007591,               0.007591,               0.007591
                     75,                 1.1603,                0.63398,                 1.1198,                0.82103,                0.80106,                0.86342,                0.51383,                 1.2679,                0.62408,                 1.2282,               0.007558,               0.007558,               0.007558
                     76,                 1.1578,                 0.6384,                 1.1377,                0.95041,                0.78203,                0.90691,                0.52802,                 1.2087,                0.59317,                 1.2131,               0.007525,               0.007525,               0.007525
                     77,                 1.1432,                0.64142,                 1.1371,                0.90012,                0.83624,                0.91189,                0.56239,                 1.1857,                0.60521,                 1.2071,               0.007492,               0.007492,               0.007492
                     78,                 1.1606,                0.64183,                 1.1184,                0.90724,                0.80609,                0.86386,                0.54053,                 1.2348,                0.62258,                 1.2294,               0.007459,               0.007459,               0.007459
                     79,                 1.1404,                0.62099,                 1.1159,                0.86872,                0.79944,                0.84626,                0.52828,                 1.2634,                0.62811,                 1.2263,               0.007426,               0.007426,               0.007426
                     80,                 1.1333,                0.60745,                 1.1098,                0.83702,                0.88393,                0.90179,                0.53323,                 1.1844,                0.58252,                 1.2002,               0.007393,               0.007393,               0.007393
                     81,                 1.1309,                0.61089,                 1.1045,                 0.9236,                0.83528,                0.91035,                0.56812,                 1.1789,                  0.566,                 1.2025,                0.00736,                0.00736,                0.00736
                     82,                 1.1489,                0.62238,                 1.1187,                0.93604,                0.88819,                0.91813,                0.55781,                 1.1569,                0.58378,                 1.1824,               0.007327,               0.007327,               0.007327
                     83,                 1.1283,                0.61196,                 1.1188,                0.88369,                0.83285,                0.88868,                0.53906,                 1.1748,                0.56653,                 1.1996,               0.007294,               0.007294,               0.007294
                     84,                 1.1338,                0.62012,                 1.1023,                0.92107,                0.89692,                0.93965,                0.58357,                 1.1627,                0.58617,                 1.1854,               0.007261,               0.007261,               0.007261
                     85,                 1.1097,                0.60334,                 1.1165,                0.89503,                0.90568,                0.92143,                0.56362,                 1.1927,                0.57178,                 1.1929,               0.007228,               0.007228,               0.007228
                     86,                 1.1344,                0.61164,                 1.1054,                0.85522,                  0.858,                0.88491,                0.55583,                 1.2109,                0.56352,                 1.2042,               0.007195,               0.007195,               0.007195
                     87,                 1.1147,                0.60454,                 1.1177,                0.85473,                0.82324,                0.87145,                0.54644,                 1.1962,                0.57406,                 1.2096,               0.007162,               0.007162,               0.007162
                     88,                  1.144,                0.62155,                 1.1122,                0.87217,                 0.8513,                0.86189,                0.53928,                 1.1854,                0.55956,                 1.1976,               0.007129,               0.007129,               0.007129
                     89,                 1.1185,                 0.6137,                 1.1112,                0.85643,                0.85244,                0.90063,                0.52878,                 1.2079,                0.58503,                 1.2096,               0.007096,               0.007096,               0.007096
                     90,                 1.1281,                0.60173,                 1.0999,                0.92798,                0.87237,                0.93104,                0.58126,                  1.156,                0.55596,                 1.1769,               0.007063,               0.007063,               0.007063
                     91,                 1.1062,                0.58951,                    1.1,                0.80856,                0.82894,                0.85744,                0.56265,                  1.169,                 0.5687,                 1.1843,                0.00703,                0.00703,                0.00703
                     92,                 1.1003,                0.59488,                  1.102,                0.89789,                0.87513,                0.92965,                 0.5634,                 1.1623,                0.56693,                 1.1878,               0.006997,               0.006997,               0.006997
                     93,                 1.1098,                0.59079,                 1.0899,                0.82865,                0.86768,                0.91745,                 0.5405,                 1.2124,                0.61027,                 1.2155,               0.006964,               0.006964,               0.006964
                     94,                 1.1055,                0.59696,                 1.0891,                0.89566,                0.82495,                0.90265,                0.55014,                 1.1777,                0.56361,                  1.184,               0.006931,               0.006931,               0.006931
                     95,                 1.0901,                0.57987,                 1.0994,                0.89066,                0.82636,                0.88271,                0.54275,                 1.1568,                0.54427,                 1.1841,               0.006898,               0.006898,               0.006898
                     96,                 1.1144,                0.59513,                 1.0954,                0.94288,                0.87525,                0.92069,                0.56667,                 1.1917,                0.57718,                 1.2125,               0.006865,               0.006865,               0.006865
